Finding ID,Title,Severity,Confidence,Category,Package,Affected Component,Remediation Priority,Estimated Effort,Release Blocking,Data Confidentiality Impact,Legal Accuracy Impact,Billing Integrity Impact,Status,Related Findings
SA-ACR-001,Public hidden PR refs still expose prohibited Equity font binaries,High,Confirmed defect,Release engineering / asset licensing,Repository/GitHub,"refs/pull/39-50; font-license guard",Immediate,Moderate,Yes,None,None,None,External — GitHub Support (preventive controls remediated),"SA-ACR-012; SA-ACR-014"
SA-ACR-002,Legal verifier treats short or unhydrated authority as proposition support,High,Confirmed defect,Legal verification,SupraResearch,"LegalCitationVerifier; GlobalChatController",Immediate,Large,Yes,None,High,None,Mitigated — code remediated; attorney review pending,"SA-ACR-003; SA-ACR-004; SA-ACR-014"
SA-ACR-003,"Document Q&A verifies citation labels, not factual support, and is prompt-injection permissive",High,Confirmed defect,Legal verification / retrieval,SupraDocuments/SupraSessions,"CitationCoverage; DocumentQAController; GlobalChatController",Immediate,Architectural,Yes,Medium,High,None,Mitigated — code remediated; attorney review pending,"SA-ACR-002; SA-ACR-004"
SA-ACR-004,Demand-letter firewall and pre-file gate do not block or repair the downloadable artifact,High,Confirmed defect,Drafting / export,SupraSessions/SupraDrafting,"RuntimeLetterGenerator; DraftPipeline; MatterDraftingView",Immediate,Large,Yes,None,High,None,Remediated,"SA-ACR-002; SA-ACR-003; SA-ACR-009"
SA-ACR-005,Redirects bypass the default-deny network policy,High,Confirmed defect,Network security,SupraNetworking,"AuthorizedHTTPClient; NetworkPolicyService; HuggingFaceClient",Immediate,Moderate,Yes,High,None,None,Remediated,"SA-ACR-014; SA-ACR-015"
SA-ACR-006,Managed document copy and indexed extraction can refer to different bytes,Medium,Probable defect,Document ingestion / data integrity,SupraSessions/SupraDocuments,"DocumentImportService.copyBlob; DocumentStorage",Before next release,Moderate,No,Medium,Medium,None,Remediated,"SA-ACR-009; SA-ACR-011"
SA-ACR-007,Billing generation crosses matter scope and accepts unrelated evidence assignments,Medium,Confirmed defect,Billing / matter isolation,SupraSessions,"BillingDraftService; BillingInstructions",Before next release,Moderate,No,Medium,None,High,Remediated,"SA-ACR-008"
SA-ACR-008,Document source CSV permits spreadsheet formula execution,Medium,Confirmed defect,Export security,SupraDocuments,"DocumentExportBuilder.writeCSV",Before next release,Small,No,Medium,None,Medium,Remediated,"SA-ACR-007; SA-ACR-009"
SA-ACR-009,Exporters replace user artifacts non-atomically,Medium,Probable defect,Export / data integrity,SupraDocuments/SupraSessions,"DocumentExportBuilder; MatterDraftingController.persist",Before next release,Moderate,No,None,Medium,Medium,Remediated,"SA-ACR-004; SA-ACR-006; SA-ACR-008"
SA-ACR-010,Model download resume trusts any nonzero file as complete,Medium,Confirmed defect,Model management / integrity,SupraSessions,"ManagedModelDownloader; HuggingFaceClient",Near-term,Moderate,No,None,Medium,None,Remediated — real-weight qualification remains limited,"SA-ACR-005; SA-ACR-014"
SA-ACR-011,Hostile import traversal/type/size controls are incomplete,Medium,Design risk,Input and parser security,SupraSessions/SupraDocuments,"DocumentImportService; SupportedDocumentTypes; EmailExtractor",Near-term,Large,No,Medium,Medium,None,Remediated,"SA-ACR-006"
SA-ACR-012,CI and release publication omit core Swift and security gates,Medium,Incomplete implementation,Release engineering,Repository,"GitHub workflows; Scripts/release.sh",Before next release,Large,No,Medium,High,Medium,Mitigated — source controls complete; live rulesets and signed rehearsal pending,"SA-ACR-001; SA-ACR-013; SA-ACR-014"
SA-ACR-013,Permanent tests do not upgrade real databases from shipping versions,Medium,Verification gap,Migration / persistence,SupraStore,"SupraMigrator; migration test suite",Before next release,Moderate,No,Medium,Medium,Medium,Remediated,"SA-ACR-006; SA-ACR-012; SA-ACR-014"
SA-ACR-014,"Security, privacy, and architecture documentation materially contradict shipping behavior",Medium,Code-quality issue,Documentation / security claims,Repository,"SECURITY; README; ARCHITECTURE; website; entitlements",Before next release,Moderate,No,High,High,Medium,Remediated,"SA-ACR-001; SA-ACR-002; SA-ACR-003; SA-ACR-004; SA-ACR-005; SA-ACR-012; SA-ACR-013"
SA-ACR-015,Stable query fingerprints are unsalted and dictionary-recoverable,Low,Design risk,Logging / privacy,SupraNetworking,"AuthorizedHTTPClient.fingerprint",Near-term,Small,No,Medium,None,None,Remediated,"SA-ACR-005; SA-ACR-014"
